4331736.0000,21994.0000,4331736.0000,876784.0000,2319580.0000,2786503.0000,3636.0000,0.0000,0.0000
1078538500.0000,9416997.0000,1078538500.0000,220250586.0000,284507967.0000,627941642.0000,879489.0000,0.0000,0.0000
1221819659.0000,10784121.0000,1221819659.0000,251804112.0000,322714033.0000,715307461.0000,981832.0000,0.0000,0.0000
1308735216.0000,11520576.0000,1308735216.0000,268741194.0000,344434937.0000,763568367.0000,1093504.0000,0.0000,0.0000
1324212046.0000,11619750.0000,1324212046.0000,272526986.0000,348648629.0000,772794675.0000,1099897.0000,0.0000,0.0000
1301584698.0000,11450047.0000,1301584698.0000,267138557.0000,342847218.0000,758976710.0000,1080986.0000,0.0000,0.0000
1114394825.0000,9777932.0000,1114394825.0000,229376405.0000,294294456.0000,651120622.0000,969165.0000,0.0000,0.0000
1294727386.0000,11392094.0000,1294727386.0000,268173240.0000,339667240.0000,758444968.0000,1060031.0000,0.0000,0.0000
1325197951.0000,11718029.0000,1325197951.0000,275907061.0000,347650414.0000,778177388.0000,1121313.0000,0.0000,0.0000
1303947159.0000,11604778.0000,1303947159.0000,272765393.0000,341320674.0000,766955300.0000,1151967.0000,0.0000,0.0000
1300660483.0000,11408652.0000,1300660483.0000,267354314.0000,342010610.0000,758051004.0000,1187596.0000,0.0000,0.0000
1301322783.0000,11406053.0000,1301322783.0000,267331205.0000,342098882.0000,757744318.0000,1169436.0000,0.0000,0.0000
1300689854.0000,11403889.0000,1300689854.0000,268485598.0000,341936510.0000,759350971.0000,1118887.0000,0.0000,0.0000
1321043902.0000,11677805.0000,1321043902.0000,274979777.0000,346413545.0000,773993900.0000,1167718.0000,0.0000,0.0000
1319919046.0000,11570342.0000,1319919046.0000,272852076.0000,346671524.0000,770007058.0000,1162665.0000,0.0000,0.0000
