1584302412,11749774,1390,10884306,96600443,1086,70344595,421,0,1584675534,34162248,275858423,1844,8842559,36643455,12989,404,0,1584484881,5493076,1584484881,30393605,109134253,175490787,2532879,386.5,0,1584664031,22695617,152216,8411,703249,792332000,608697,371.4,0,1584711316,101200,38067,272,0,0,0,361.8,0,0.827817,4.459269
899084,12483,307,3875,110838,406,71174,0,0,5697254,668551,4188559,700,405363,705348,47,0,0,4966286,40731,4966286,704454,1821596,2503302,32471,0,0,706082,23363,2261,401,10379,353048,9195,0,0,5634040,1276,65273,6,0,0,0,0,0,4.363339,2.071141
1543676272,15287566,1351,218950,480328586,1268,317845825,269,0,1563270115,164227561,671096156,1937,3458727,5136102,13770,270,0,1564799621,95758,1564799621,5407266,487782183,343359454,46710,229,0,1543863307,15573877,16816,5082,115772,771931636,66899,0,0,1543840989,11105,119130,268,0,0,0,0,0,4.531869,1.392205
1543799862,15584444,1142,219225,481717264,969,318937888,268,0,1543906411,162333633,665402794,1917,4068104,6045512,13769,235,0,1543229273,95174,1543229273,6304774,481633915,340278601,48515,231,0,1543480539,15911278,17023,5049,100799,771740272,67745,0,0,1543357177,18661,118489,266,0,0,0,0,0,0.607048,1.381563
1564841656,48625985,1208,230674.5,505207834.5,1127,342747313.5,225.25,0,1554968063.5,161020328.5,753607170.5,1903.5,36720514.5,54047017.5,13670,222.25,0,1541331897,96509,1541331897,53864028,497595293,452786657,47983,219.75,0,1554898825,48601818.5,16830.5,5083.5,127819,777449412.5,66989,0,0,1543131685,25661,123595.5,267.5,0,0,0,250,0,4.500495,2.316674
1576819496.5,59316550,1158.5,226630,472556434,1235,324779920,280,0,1566155187,146505514.5,761812648,1905.5,59387728.5,89173414,13673,168,0,1553540654,96608.5,1553540654,88719400,465807425.5,511572844,45372.5,167.5,0,1565561369.5,59233082.5,16386,5086,119796.5,782780687,65208,0,0,1566857207,58247.5,131782.5,271,0,0,0,252.25,0,1.066278,2.124074
1542725060,18851665,1108,199526,472327227,1127,312192108,265.5,0,1543726644,159726991,660135189,1902,6011877,8471598,13662,268,0,1543678208,94913,1543678208,8738302,472455896,341634863,45605,271,0,1543164143,19472984,16729,4987,177037,771582083,66515,226,0,1543646809,5824,118501,266,0,0,0,0,0,4.455017,2.070253
1542630660,12635720,1133,195115,471250806,1030,311139678,264.5,0,1543528637,159709494,655713763,1901,4327738,6357293,13655,269,0,1543487669,95276,1543487669,6703807,471663803,337150958,47751,269,0,1543709106,13337748,17035,5203,74764,771854554,67894,265,0,1543820888,31826,117255,271,0,0,0,235,0,0.610854,1.386833
1543011382,64266615,1371,191884,420516863,1335,290994840,229,0,1542604376,129139876,704928690,1887,65196379,95863270,13530,83,0,1543095979,119845,1543095979,96079298,420341449,499893791,45932,0,0,1543583738,64541262,16303,5002,98958,771791857,64776,0,0,1542642190,12872,114703,269,0,0,0,333,0,0.860110,1.654397
1564379498,62036049,1056,195606,416100094,1254,291107722,232,0,1564130463,124657877,720238318,1889,83578558,107433535,13577,0,0,1543156451,146853,1543156451,106224158,410519419,544187754,47099,0,0,1563903222,62267889,16530,5013,110285,781951623,65695,334,0,1541814708,6422,115972,272,0,0,0,334,0,0.775556,2.371820
1543395432,17128798,1191,218396,474585248,1004,314165637,267.5,0,1542862533,159961534,665979546,1909,7620189,10968452,13719,226,0,1587816454,96857,1587816454,11534733,488324685,356435036,48037,229,0,1566464441,17678642,17746,5154,110044,783232223,70685,0,0,1567457535,31938,119879,269,0,0,0,334,0,0.660882,2.077790
1543180626,56695804,1038,223296,365254987,1187,260670993,337,0,1542934848,104190527,680693501,1893,104343455,129387260,13626,331,0,1543201344,240395,1543201344,129734024,365480558,584270912,48244,160,0,1542337201,56942666,16289,4874,98192,771168575,64841,77.5,0,1543140425,30876,120933,265,0,0,0,318.5,0,1.056825,2.420021
1323389393.5,28675715.5,1370,293361,333186268,1335.5,249593378.5,176,0,1521206782.5,95683419,865237424.5,1895.5,190636494.5,286215782.5,13617,0,0,1276938155.5,251254.5,1276938155.5,240728208,321882342.5,698619162.5,48454.5,116,0,1490160295.5,32727127.5,17232,5066.5,86150.5,745080138.5,68584,0,0,1223794838.5,34853.5,157623,268,0,0,0,0,0,1.261156,1.764989
1553240983.5,45383998.5,1098,270704.5,350712476,1028,262619484.5,63.5,0,1553970008,87680784.5,790721562,1898,174397647,261676674.5,13627,0,0,1552225029,232857.5,1552225029,261999863,350910305.5,745111417,46844.5,225,0,1553898335,45817341.5,16487.5,4987.5,155861,776949149.5,65597.5,248,0,1540789305,23326.5,141665,267.5,0,0,0,278.5,0,1.257402,2.392902
1554693794,51019579,1179.5,208893,325394327.5,1197,243680857,0,0,1542912677.5,80833234,729060514,1906,160815077,241322443.5,13675.5,246.75,0,1541340790,225248,1541340790,241425769.5,323186071.5,680560569,46013,248.5,0,1553556077,51208231,16163,5001,83472.5,776778042,64274.5,244.75,0,1554954131.5,74668.5,124389.5,269,0,0,0,281,0,1.061907,1.483418
1543358836,53361194,1147,202612,310444536,1037,232480156,269,0,1566958848,78826496,710978185,1905,156865606,235408822,13682,0,0,1563969768,261526,1563969768,234864593,314299457,668925518,46332,334,0,1567014083,54400114,16592,5083,75432,783507047,66023,322.5,0,1542813286,32328,111908,266,0,0,0,267.5,0,0.791801,2.299563
1542751599,26015017,1287,216419,476824597,1060,317770589,316,0,1543230248,158786609,687469032,1893,17736279,23044272,13612,319.5,0,1543141697,95175,1543141697,23304365,477106581,376772204,46333,268,0,1543241358,26337544,17135,5115,100918,771620686,68168,269,0,1543204584,36604,118312,273,0,0,0,266.5,0,0.773633,1.398955
1542253519.5,918047,1133,173245,575925618.5,1192.5,383922191.5,156.5,0,1567469981,194946177.5,784850169.5,1906,753042,1258816.5,13687,0,0,1543882538.5,94528,1543882538.5,1358188.5,577042801.5,388603933,46907,0,0,1543656510.5,1143333,17255,5146.5,75458,771828262,68680.5,0,0,1547202440,49761,37070.5,267.5,0,0,0,234.75,0,0.114652,1.884523
