963784724,19599618,8759,740257,237553148,21248,317248435,0,146.5,963764493,1735,54270,963764493,2018594,227995553,88422977,0,169.5,963798740,373267,39782432,20916,3280,94206,328677340,0,145.5,963846673,481923312,152262765,75736405,169573,354958,10049,0,194.5,963754093,339252,338985,18890,1909,37981319,514516,0,147,963719266,18625,2392,3398,1205,81057,13538,0,192.5,963669400,94230,94230,158252937,79925574,5011,326,0,169,963836936,5576,228809,220629,8109,152880615,75763525,0,144.5,963794992,228336547,5120796,773581,74987443,2021483,1899038,0,171,963947319,74595,120971,2,225430,2,1407,0,145.5,963495426,41,159,125,388,229380,0,0,192.5,1.869627,1.962896
963574381.5,14493719.5,10197.5,7069897.5,171131336,21177.5,242956386.5,0,184.05,963421927.5,1736,1388096,963421927.5,11981915.5,173583077,126728289.5,0,193.75,963698871,3933590,41082712.5,21448.5,3395.5,96577.5,326509352.5,0,192.85,963598148,481799061.5,120519348.5,61928949.5,2734161.5,5057118,10800.5,0,202.5,963684963,4136167.5,4135908.5,19060.5,2081.5,33215543,6935830.5,0,173.2,963607142,19012,2403.5,3417.5,1070.5,83248,13642.5,0,174.85,963482001,96194,96194,120672073,61977541.5,5204,347.5,0,194.55,962566177.5,5450.5,3798631.5,2338254,1460276,142192366,63945762.5,0,185.75,953825474,204200735,37650340,9312210,54612488.5,11961817,11846057.5,0,192.45,940352587,71036.5,113763,2,2554861.5,2,1408,0,192.75,916810199,41,160,130,388.5,6167739.5,0,0,201,1.236989,0.744914
963332092,19551787,8384,1907756,243032916,21639,316861184,0,196,963639987,1757,100423,963639987,2973648,228835327,90930538,0,172,963613214,929198,40220194,22326,3442,100330,316835662,0,145.5,963628987,481814498,152821476,75421277,300197,949605,11937,0,149,963303033,912532,912232,19358,1896,39040111,1223039,0,144.5,963428693,19841,2409,3414,1166,86200,13593,0,151,963151274,100570,100570,153198914,75623063,4945,335,0,193,963599226,5275,541733,491088,50646,154521268,75635839,0,169,963289866,229293939,8151258,1836081,74111142,2971724,2848062,0,144,963395003,76508,123564,2,522284,2,1427,0,148,963643522,40,160,125,389,561412,0,0,145.5,1.613033,1.627978
963383246,19172544,8342,1043592,227146285,21334,310658490,0,194.5,963745714,1748,82195,963745714,2706626,228285181,89969923,0,145.5,963643111,756561,39688184,20857,3286,93402,314824213,0,169.5,963645355,481822673,151923194,75154116,270165,760202,11670,0,149,963769052,832807,832532,19249,2134,39739110,1584633,0,171,963466847,18526,2366,3304,1024,80633,13210,0,144.5,963608949,93499,93499,152150288,75283171,4855,356,0,195.5,963711126,5198,453756,418679,35025,153586327,75463545,0,144,963383360,228220844,7206970,1475700,74179976,2705682,2582229,0,192,963661947,76662,123560,2,444427,2,1422,0,152,963391784,42,160,126,391,459385,0,0,195.5,1.580652,0.242324
944124243,7585375,125779,9049516.5,68526522.5,20337,140269318,0,191.35,963981317.5,1697,58146,963981317.5,17622604.5,69449563.5,43597344,0,192.05,929275887,3020373,29543671,31780.5,4257.5,141644,223192959,0,194.55,925202639,462601287.5,49966155,16728075.5,2969975.5,5894861.5,10612.5,0,189.2,917770977,2922802.5,2922499,18244.5,1868.5,23277757,5879012.5,0,182.1,933336777,27248,2486.5,4118,1356,116049.5,16447,0,206.5,917804809.5,141754,141754,67606118,22250924.5,4918,333,0,179.05,907533169.5,5429,6088917.5,3212362,2876531.5,49178655.5,16283213,0,195.75,929505209.5,66711962.5,35416067,10117833,9833089.5,16932911,16831774.5,0,189.65,916876911,64112.5,100643.5,2,3245280,2,1351,0,182.1,917816546,40,163,130.5,380,6396792,0,0,204,1.207997,5.386783
81180,1614,145,717,21087,434,43715,0,0,63037,38,461,63037,3653,8808,12683,0,0,54475,174,3551,998,82,4161,34602,0,0,309210,153121,118515,58807,945,473,487,0,0,72660,24,29,302,35,3940,521,0,0,45520,505,130,105,32,2347,420,0,0,57659,2802,2802,7516,4570,9,1,0,0,59788,11,84,72,8,9473,4921,0,0,57142,13940,11070,112,13,4478,3852,0,0,48576,433,479,4,8,0,18,0,0,42974,1,8,0,227,85,0,0,0,0.229182,0.474669
74072,1420,143,713,19023,373,39765,0,0,92347,30,513,92347,10745,24005,25502,0,0,75724,230,4692,1235,99,5201,52355,0,0,66193,33098,9647,6231,374,173,142,0,0,71852,21,36,290,23,3763,491,0,0,747658,10017,952,1989,128,43249,7956,0,0,61312,3354,3354,7739,4714,9,0,0,0,93356,9,163,133,20,16400,8562,0,0,24571,2853,3485,147,20,1071,877,0,0,87814,925,975,6,12,0,30,0,0,39508,1,4,0,296,68,0,0,0,0.220660,0.307203
504709,11081,2185,5293,99219,3216,153042,0,0,364595,120,1935,364595,26112,64239,85458,0,0,17785055,20054,330768,25538,2536,109292,24111428,0,0,71791,36241,12299,7134,508,199,194,0,0,1102048,156,194,1850,168,20972,3065,0,0,555109,1655,1009,144,402,9922,576,0,0,422550,9686,9686,50504,30422,10,1,0,0,386564,15,547,469,75,67212,35201,0,0,259262,71461,58427,110,6,20847,18130,0,0,393229,2918,3082,90,180,0,96,0,0,38583,1,7,0,303,89,0,0,0,1.647317,2.275873
59930,1150,119,535,15657,254,33909,0,0,71618,26,426,71618,8166,15601,18067,0,0,67514,187,4136,1211,86,4990,41539,0,0,142966,70699,23882,13993,953,421,327,0,0,87473,46,65,263,33,4674,525,0,0,271759,1107,434,209,190,5839,836,0,0,63569,2972,2972,9612,5617,12,2,0,0,42170,15,61,36,22,5049,2518,0,0,54816,13566,11568,133,20,4159,3553,0,0,35732,309,348,4,8,0,16,0,0,22795,1,4,0,49,16,0,0,0,0.222198,0.514760
947074411.5,32830660,6238.5,379413,436099390,20908.5,707926628,0,112.5,963603079,1737.5,43999,963603079,84655827.5,443903325.5,246942727,0,127.5,963167245.5,141650,68030976,20735,3384.5,93323,719625565,0,126,947220824,473610396.5,299913321,136288578.5,158289.5,136701,9535.5,0,126,963430529.5,132059,131772,18879,1877.5,65472876,306179,0,76,963259237,18692,2348,3366.5,936,81139,13429,0,112.75,963526307.5,94615.5,94615.5,305397038,138789873,4965,330,0,124,963978795,5227,90366.5,90354.5,10.5,306326745,138966664,0,76,962846229.5,442832377,27758931.5,307971.5,187253219.5,84445512.5,84162522.5,0,0,963288656.5,155679.5,282338.5,3,90308,2,1407,0,114.5,963007986.5,41.5,160.5,125.5,430.5,90263.5,0,0,128,0.937842,1.992045
