"mean_cycles","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60","x61","x62","x63","x64","x65","x66","x67","x68","x69","x70","x71","x72","x73","x74","x75","x76","x77","x78","x79","x80","x81","x82","x83","x84","x85","x86","x87","x88","x89","x90","y1","y2"
1564327178.4,3041816,491,2404789,33762320,466,23113077,10605821,57998666,522,2374829,5237511,60,2183999,7201978,61933040,76617434,1347020,8594999,809047,113983,3894947,757285998,3647627,232423,2290,342,5658693,12404,3398441,70315946,24237,103426736,1788,1060324,6947715,71240664,61896175,1207049,15996952,1299415,4421,3902515,143851392,494183016,41620545,22908771,1492740,1942808,12278,1157142,1793160,21872,2345,14398503,1399071,356151,954257,4551,1234419,3943375,18172,3808259,3808259,40744507,22531465,4780,363,5369,1855761,598021,1091990,54607519,25667832,78614006,19672777,3389407,20558014,6666402,6555988,74628,115340,182,902314,2,1533,36,141,184,3558,3019765,1.660579,1.342437
1438672698.8,26831471,806,2977709,318278529,861,213374029,107168147,447254578,517,1701270,4609339,12,1284222,4660355,309075066,228485753,1696012,29442419,839242,109763,3892419,734035648,3677420,232218,13211,288,2151578,39131,3248739,25424885,21021,44903628,1645,582262,6671902,24109541,30513869,933119,29780522,1093123,3790,3403143,252692174,487928192,107754744,56078880,764895,1266539,11376,870258,1223533,22077,2002,27485650,763092,342496,828178,4045,1358008,3640814,16178,3639947,3639947,109734955,57082852,4986,344,4804,934188,319269,493381,117544852,58172784,41408766,22258098,5937017,5116577,6996115,6890508,81281,126992,218,541354,1,1206,36,142,164,3857,1989755,0.99082,0.614259
1377172515.3,1550070,291,2219764,14361024,224.5,10131596,4166212.5,30729585.5,379,1882524.5,5525422,29,1167988.5,8638380.5,29607995.5,44252512.5,1295185.5,6325922.5,795439.5,68339.5,3674940,690117335,3515338,142558,20104.5,270.5,12304609.5,9500.5,1812619.5,161822824,16222.5,203124715,1171,284582,2998991.5,169493119.5,73372495.5,787883,28764058,1066273,3157,3480786.5,256986925.5,383011101.5,94048311.5,47847649,553269,954652.5,7032.5,723451,968836,13295,1561,26550363.5,551270,275878.5,704211.5,2861,1211706.5,3080271,11424,3196178.5,3196178.5,100514355.5,52116463.5,2410.5,192.5,2647.5,629343,271776,357513.5,115568727.5,57164892.5,190645350,7555217,1050585,61421054.5,3108480.5,3031571.5,96672,157305,172,222957,1.5,1386,24,94,178.5,4137.5,1112835.5,6.522885,4.126706
1584567634.8,6921223.5,635.5,2413828,81399196,583.5,54774961,48745888.5,216317195.5,503,2721302,6192259.5,22.5,1245385.5,4360848.5,84666367.5,77694475.5,998326,15823632,912435.5,142705.5,4301475.5,727872722,4009542.5,292423.5,16060.5,291,10673773,13108.5,2787123.5,131718501,24906.5,182318509.5,1800,906015.5,4934410.5,128889176,75632177.5,1191810,24801970,1318371,4207,4081742.5,214561443.5,496940384.5,79959967.5,43458749,1419157.5,1520962.5,14125,1232526.5,1743263,21789.5,2244.5,24123246,1261065,342582.5,962661,3980.5,1348574,4015484.5,15905.5,4000353.5,4000353.5,86073373.5,45569900.5,5153,352.5,5151.5,1405252.5,509662,723193,93621796.5,45956717.5,143431976,14969879,2112069,43802053,5058591,4913386,77066.5,119360,228,627805.5,2,1529.5,35.5,141,176.5,3950,2689074,0.224252,0.18564
3580549.2,14765,254,4315,104051,282,66390,96178,608978,195,60651,104195,28,8745,124063,307885,452595,4140,24460,1318,261,5853,472788,5302,373,7064,2,2043,239,966,34991,563,77255,43,1608,25168,59955,68713,600,12355,2568,208,10798,185019,85302,25806,14789,1179,462,413,34,56,1004,64,12214,1507,1927,282,384,56,8636,1535,52506,52506,1158041,549195,107,10,250,605,524,72,90834,53891,62870,59745,107,0,23936,21231,1199,1323,0,0,0,12,0,4,0,1099,223,0.482826,2.106732
1551890060.8,12581062,645,207881,446974346,556,295903043,156273542,635007378,499,2766875,3804389,39,63056,3841610,441273193,308245211,147712,13122422,41744,1434,232861,746243080,230130,4031,77986,286,147078,7927,216047,242769308,24399,336261924,1739,86874,3640417,251291531,90693399,72159,1376529,144842,3681,456726,346268024,303387494,161011097,82372111,134721,120040,12943,62622,70310,22939,2364,1216606,154606,79409,65357,3757,119423,445271,15015,386285,386285,165205695,84482120,4880,362,5361,82343,43403,38921,165278731,84112009,254931401,10100990,324904,89712724,3646108,3414537,154442,237062,248,58580,2,1454,37,142,164,4212,117623,0.718285,3.255174
1543554652.4,13508,367,4544,2042129,496,1450971,674321,4222196,752,410198,711943,131,130751,1901807,3502198,6462041,70850,27898,1505,604,6842,1956392,6557,3038,65561,0,5270,658,3258,944200,1904,1590293,38,983,17278,37925,42450,773,15771,2476,127,9918,152612,123136,32440,19105,1286,421,448,1253,1517,6314,177,65696,15216,970,275,131,55,4689,524,21312,21312,646930,291201,20,3,25,147,129,17,34703,15873,53918,47085,122,0,20496,18260,2422,2514,36,72,0,58,0,4,1,1459,415,0.723818,0.439392
1551834425.3,16727,322,5369,312723,463,212946,83826,520485,153,52410,90553,20,9091,126009,315177,460923,4695,22749,1558,392,7248,458277,6579,2284,7852,3,6195,1032,2987,92721,1619,184592,37,2123,36837,87184,96598,149,3817,604,41,2484,38789,107903,33737,19500,1245,392,434,26,24,1037,74,8994,1418,929,377,136,94,4770,544,5459,5459,13216,8159,10,2,14,401,350,42,504903,215729,117702,90016,594,20,35499,30974,2349,2533,14,28,0,44,0,0,0,1876,344,0.431653,1.942653
1565786782.8,13705,333,4352,286804,432,196429,30842,194314,184,19162,32427,11,12548,214170,547787,762399,4890,42504,3749,777,17547,690432,15247,625,7266,0,4916,827,2623,69009,1411,134325,26,876,12042,33679,39665,237,6530,2250,213,9665,84727,113743,25706,15052,886,301,354,37,40,632,50,8212,978,571,333,18,76,3339,72,16701,16701,65705,38398,10,4,11,347,313,33,49243,24455,558162,264525,103,173,186775,152680,1776,1913,0,0,0,19,0,0,0,1617,511,0.470793,0.501997
1543388172.8,9383,269,3560,204363,384,139664,80702,503530,170,47133,83449,20,8329,95911,240814,372026,4301,23807,1622,262,6702,395490,6524,1440,4755,1,2302,439,1536,39804,952,73517,15,367,6922,20220,22009,674,9607,824,12,3014,94603,161751,36889,22578,2021,673,916,78,102,1843,118,15863,2429,880,372,67,81,4676,268,29269,29269,66112,54494,104,5,11,145,130,14,18060,9322,73990,62595,113,0,22493,19623,1454,1495,6,12,0,30,0,0,0,236,45,0.483033,2.151919
1543435392,10609894,585,208339,448397120,658,296334997,152010696,620124147,508,3596336,4985148,37,45544,5140913,443032310,312919944,61817,11079870,22346,1076,118856,754590405,115599,7433,78151,293,479793,8425,282099,239476179,24056,334100914,1832,88171,4416718,251358598,91807360,74733,778073,149209,3808,466004,355631168,301785175,168630837,86737095,162639,136156,13052,60248,121323,21510,2403,618339,150971,81108,69863,3868,119792,456351,15467,477994,477994,169707305,87280159,4801,320,5120,94759,46071,48652,173579898,88871884,257947570,11420662,405855,92645491,4457930,4223575,91812,138708,288,52924,1,380,34,140,175,3369,139935,0.721068,0.440467
1542987533,55090833.5,968,183694.5,387393512,1060.5,268261856,126102106.5,684299587.5,615,63555381.5,89475233.5,89,52141,72685886.5,329287189,390419014.5,90984.5,50731049.5,63132,6565.5,342775,642841580.5,307372.5,11187,78699,286.5,34907626.5,6079.5,448064.5,371315110,16244,619461506,1719.5,189737.5,74982629.5,338843766.5,210011284,135836,70334107.5,117957.5,2080,255019.5,638941816.5,444463855,255934717.5,114286548.5,233505,206035.5,10729.5,120735.5,171710,13248.5,1287.5,66915396.5,285508,46026,82134.5,3601.5,66370.5,270089.5,14388.5,265125,265125,245872022,109649770.5,5792,192,10537,160022,68805,91127,245105775,109204435,325768296,23739489,156735.5,142647513,71518237.5,71283344.5,139378,231331,255,79802,1,803.5,18,72.5,175.5,3289.5,504306,0.60445,0.519894
1555476868.4,76237,4596,36123,2315010,5553,1603084,657141,4112949,668,398808,693894,47,162636,2214863,7141395,11075192,95900,126579,6878,1621,31268,2915407,28299,3529,65493,0,1753,82,926,23022,804,44022,16,330,10608,24143,23866,215,5072,759,38,3033,69698,3595556,2371694,1727404,43204,3758,10599,16,13,91,16,1785,195,328,66,26,9,1445,104,1596,1596,12288,6774,0,0,22,123,98,20,18138,8840,27999,30054,159,33,12371,11075,2928,3209,208,415,0,95,0,5,0,744,183,0.421617,0.326988
1561599279,13250,200,3863,79269,250,50316,100564,618243,253,60670,105018,209,8268,97265,244994,376146,4178,25424,1010,265,4830,400510,4297,1547,5091,2,5699,557,2679,676773,2059,1141823,107,1522,19363,45687,65335,168,5030,478,14,1831,51164,104670,22559,13924,1482,459,611,42,44,1079,93,13767,1799,1436,316,128,83,6631,512,20681,20681,58424,35902,28,9,24,154,133,19,32795,15297,44412,41228,295,20,18064,16075,1548,1741,8,16,0,29,0,4,0,5880,2486,0.48128,0.31807
1542958888.8,52689,1469,18819,889702,1939,550503,96989,606644,200,59103,102583,22,9655,129145,321070,477325,4580,25268,2024,312,9229,493033,8245,246,7296,2,2221,228,1316,636672,973,1061214,25,26857,994888,1513480,1832985,415,8729,816,10,2973,101991,118396,30558,17794,1603,528,566,21,23,383,30,3880,544,1076,212,216,33,5010,864,6210,6210,17740,10425,13,0,13,1293,1112,138,89839,48707,42910,35204,0,0,13239,11531,4658,4906,12,24,0,69,0,0,0,1412,334,0.413219,0.436701
1367097893.1,16060717.5,2460.5,184364,189228330.5,2881,141828822.5,33635489,303614665.5,1487,66458551,99853471.5,7744.5,116770.5,125444919,168262995,397901257.5,84916,12516538.5,47868.5,6300.5,301596.5,302939336.5,227032,17683.5,92127.5,182.5,603656.5,2427,277020,196067997.5,5903,440891166.5,347.5,64431,83717718,111823903.5,113571195.5,111536,662086,59941,1357.5,138146.5,376188625.5,211812103,158883492,53209844.5,225399,212082.5,2558,74085.5,126431,2252,201.5,389664,147193,41993.5,55118,510.5,80284.5,257306.5,2042,208553.5,208553.5,152952791.5,51331325,2467,197,55,94321.5,43808,50488.5,93569516,31203305,118731932.5,2431718,274.5,58218103.5,88599738.5,88462862,104427,160527,173,62890,0,131.5,7,25.5,101,2482,159771.5,0.566576,0.71454
1550824732.1,64499,3519,28959,2197510,3807,1529068,668216,4204173,727,409682,711451,49,44884,860293,2229926,3004391,32050,128947,6232,2083,27896,2773448,26087,1458,65445,2,2396,253,1013,30724,599,61088,31,985,24658,43438,47566,154,3062,543,17,2150,44166,41283,17906,10497,604,259,258,12,24,381,17,3284,471,535,96,106,28,2444,424,4461,4461,34028,19993,0,0,21,79,60,15,15317,7397,20171,19910,125,20,8987,8060,931,1019,58,116,0,45,0,4,0,95,24,0.417903,0.525472
1549491494,36342698.5,732.5,135299,230948393.5,811.5,173180860.5,55977708.5,506706636.5,592,111749731.5,167836945.5,48.5,48732.5,159097078,212026614,494939941.5,47001,33104163.5,47580,4904.5,273504,536753463.5,225789.5,7004.5,73391,287,15326157.5,5746.5,390391.5,332463814.5,16200,748831645.5,1206.5,121806,245644540.5,328045978,343412917.5,117865,30434609.5,128714.5,3366,375698.5,749616317.5,464507084.5,240377950,80453303,244132,227209,8362,162291,208005.5,12394,1132,28603543.5,357901,59806,73036.5,3477.5,86732.5,375244,13901,408402.5,408402.5,247513147,83202498,2853.5,200,2652,136986,87587.5,49364,241285534,80604289.5,322866818,5295453,162252,159031014.5,240925028.5,240613869,214192.5,343801.5,101,91319,1.5,1415.5,29,102.5,160,3275.5,182114.5,0.674119,0.715852
1556822964.2,14980,368,4942,239902,487,161668,77417,485596,203,46872,81957,20,7517,87589,217982,334868,3587,26064,2032,405,8670,425103,8393,235,4765,0,3642,362,1956,52547,1339,101249,61,1245,23293,52012,62054,215,6437,971,79,3908,57059,110530,30898,18988,1372,515,501,23,31,567,33,6531,828,2566,511,271,117,11840,1084,3631,3631,11901,6848,1,0,0,139,122,16,15002,8013,70759,59276,0,0,21609,18905,3095,3332,22,51,0,46,0,0,0,1586,320,0.434865,0.344327
1543113897.2,24670275,533,206398,445301917,598,296388034,149546437,645742506,678,16213324,22755334,49,64027,23213214,452759786,363373362,49637,24624434,42098,1559,216662,736836106,212544,2676,79461,289,5901341,7558,358861,316015981,23430,459025202,1879,97211,17071520,305131007,125246114,100436,12012459,133603,4058,383950,452893958,482013823,209950074,105751650,194296,163567,12282,95077,132317,21513,1983,12007385,246385,44813,55184,4113,43852,241068,16422,388313,388313,206689171,104080876,5145,359,5376,122905,55470,66371,210570273,105246807,324157327,17421576,315297,124216232,18139096,17860055,176971,271870,182,66408,2,1426,35,142,184,3324,188274,0.714819,0.553008
1548892997.9,32066,1407,1583939,298067068,1719,200334723,97285786,411836233,733,2484451,2646026,106,56939,1531703,273710027,191483050,107696,1420203,873672,1824,4108073,515368820,4106776,19222,38713,294,87113,6334,1217834,998438118,21972,1369129256,541,14963,5675096,778760434,273779079,1269865,2131223,1492803,385,5983710,1057723701,338248490,567295964,276439350,394881,569330,874,1144007,939033,3450,398,1359263,381272,7684,1025,777,3299,33991,3107,3236201,3236201,512118320,249742120,728,19,634,919,771,21,355675338,173109620,438269893,25459583,386,136463893,3582779,3578385,2778,3297,10,25,1,189,14,37,150,1583,1211,0.530638,0.060839
1552455369.2,295873,329,171787,444182385,413,296393561,102638768,416142942,347,711081,1497323,62,58905,631967,257689216,177425491,77799,298968,46777,280,226923,338961529,221709,4301,4465,273,33901,825,51052,944454891,2852,1263969340,347,13989,1943072,927338835,311144711,43641,227028,75789,2790,325423,732946485,251710938,753737017,376025406,71193,68755,794,19348,18520,4343,580,158726,29142,16968,11371,1055,24248,112708,4211,120008,120008,402938288,201019654,339,13,230,289,239,12,419249014,209060629,1178865122,4759911,722,391667878,1683084,1678564,4209,4776,10,108,1,132,0,0,118,255,168,4.602641,0.790171
1549410275.7,385454,1682,30967,296229430,1927,197533290,46359136,190156077,1862,831692,1463146,13888,115046,2685171,206369559,143052580,61296,319567,10484,2811,48104,262966358,42697,7486,38788,152,33107,777,44357,533332254,2022,717697787,167,565,2031818,1208486529,405269166,36073,250491,61177,1044,256827,1117255967,214023016,600904622,299962846,28262,14105,2402,20449,19238,1917,294,122862,25019,15174,7250,186,14810,88621,744,10013,10013,827324323,412799689,5,4,299,377,324,26,675572833,337213304,818268897,3810448,530,271620529,1738945,1670678,59575,106646,14,56,1,273,13,39,131,1726,618,0.403833,0.806564
