"mean_cycles","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","y1","y2"
1367097893.1,28675715.5,1370,293361,333186268,1335.5,249593378.5,95683419,865237424.5,1895.5,190636494.5,286215782.5,13617,251254.5,240728208,321882342.5,698619162.5,48454.5,32727127.5,17232,5066.5,86150.5,745080138.5,68584,34853.5,157623,268,1.261156,1.764989
1550824732.1,45383998.5,1098,270704.5,350712476,1028,262619484.5,87680784.5,790721562,1898,174397647,261676674.5,13627,232857.5,261999863,350910305.5,745111417,46844.5,45817341.5,16487.5,4987.5,155861,776949149.5,65597.5,23326.5,141665,267.5,1.257402,2.392902
1549491494,51019579,1179.5,208893,325394327.5,1197,243680857,80833234,729060514,1906,160815077,241322443.5,13675.5,225248,241425769.5,323186071.5,680560569,46013,51208231,16163,5001,83472.5,776778042,64274.5,74668.5,124389.5,269,1.061907,1.483418
1556822964.2,53361194,1147,202612,310444536,1037,232480156,78826496,710978185,1905,156865606,235408822,13682,261526,234864593,314299457,668925518,46332,54400114,16592,5083,75432,783507047,66023,32328,111908,266,0.791801,2.299563
1543113897.2,26015017,1287,216419,476824597,1060,317770589,158786609,687469032,1893,17736279,23044272,13612,95175,23304365,477106581,376772204,46333,26337544,17135,5115,100918,771620686,68168,36604,118312,273,0.773633,1.398955
1548892997.9,918047,1133,173245,575925618.5,1192.5,383922191.5,194946177.5,784850169.5,1906,753042,1258816.5,13687,94528,1358188.5,577042801.5,388603933,46907,1143333,17255,5146.5,75458,771828262,68680.5,49761,37070.5,267.5,0.114652,1.884523
1552455369.2,531335.5,1160.5,118368.5,581173313,1236.5,387477470,191829098.5,772974984,1901.5,807233.5,1313150.5,13663.5,93627.5,1414533,577344524,389140663.5,45625,804657,16752,4985,89301.5,779804751.5,66661,18976,37055,266,0.171678,0.217267
1549410275.7,856957.5,978.5,140927.5,559987367,1053.5,374292270.5,180647549.5,762148378.5,1866,716907,1197205.5,13090.5,88239,1288991,573403765.5,393027759,48810,1166461,17133,4986,76815,772581436,68168,88738.5,34756.5,270,1.997272,2.476273
1548996257,755125.5,1023,206645.5,580931125,1069,387286943.5,192069334.5,773608054,1902,778338.5,1284119,13679.5,95358.5,1388374,576692776.5,388537099,45557.5,962626,17881.5,5143,77655,778936953,71202,20197,37068,264.5,0.076562,2.179129
1546204707.6,120116.5,1246.5,287175.5,577500427,978.5,385116148,191443920,772390148.5,1908.5,894199.5,1399977,13676.5,94642,1502343.5,577088647,389502750.5,46617.5,345483,17465.5,5092,77930.5,774781879,69483,23222,37056,266,1.541296,1.927784
1546806801.8,127839,1056,232839,575804654.5,1119,383930244,193360916,779478472.5,1903,842994,1348885,13655,94271.5,1447519.5,577421983.5,389391417,45627,416003,16788,5028.5,95133.5,772310345,66776.5,24310,37122,274,1.71585,2.151517
1559371467.1,116602.5,1043.5,501814.5,584268029,1218.5,389847429.5,192761894,780013375,1888.5,1107567,1608702,13591,92415.5,1708397,579700996.5,392489479,45288,770601,17171,5187,103600,772007523.5,68478,31394,36632,268.5,0.099948,1.961452
1558502169.1,903208.5,1032,139720,576578917.5,1264,384352552,193909469.5,780583121,1935.5,742540,1244706.5,13557.5,92358.5,1339768,585695830,394307101,45398.5,1140611.5,17353,4964.5,159375.5,783897390.5,69041,50895,36640.5,265.5,1.717021,0.1817
1536529170.9,115671,841.5,378917,455672121,939.5,305986974,146079169.5,715038438.5,1838,1329854,2255597.5,13039,93895,2426081.5,484654730,389344011,44949,543581.5,16176,4891.5,97259.5,772799332.5,64286,31647.5,34544,265,3.004135,3.025237
1546760400.6,126319,1035,234754.5,575532617.5,1103.5,383751757.5,191862109,773471727.5,1894,838700.5,1342182,13614.5,92694,1444877,580631830.5,391527035.5,45413.5,465538.5,16517,4827.5,110330.5,773827776.5,65762,33360,36839.5,264,1.91476,0.146535
1553974009.8,102639,937,1381692,571453517,985,382205365,191706314,785969087,1901,2031577,2535123,13612,92581,1418541,563062645,388511160,45468,1886400,15997,4917,94842,784297935,63620,31903,37118,269,0.705476,2.207318
1551025232.7,121492.5,1013,385220,580080111.5,1209,386865759.5,194459573.5,784788363.5,1907,923126,1426702,13609,93550.5,1524469,576309482,389125383.5,45037.5,554690,16418.5,4926,86855,772231979.5,65274.5,33553,36628.5,266,1.960347,1.992735
1545407999.6,99746,930,16065707,211836249,991,168831168,38052307,655567964,1863,92228073,167637234,13188,12543433,176789261,214392100,586135815,45089,16214625,15890,4855,95162,772714077,63223,32912,4832972,265,0.899938,22.999206
1548012715,111038,968.5,418498.5,575810201.5,1081,384125454.5,191645885,774681226,1896,1030126,1533569,13605.5,93501,1632937.5,575853933.5,389467453.5,45693,589655.5,16134,4958.5,95937,778366828.5,64198,39670.5,37376.5,275.5,2.155766,2.173561
1547575027.2,103645,927,1146680,573814044,1033,384788860,188517145,783972662,1884,3005759,3536186,13395,92121,3558006,561481464,391395988,45772,1312543,15769,4830,89288,779135729,62726,32295,36142,263,0.102456,0.10355
1545125061.5,101752.5,996.5,16033347.5,211982735,990,168908377.5,37729243,638054791,1876.5,89446431,161900776.5,13314,12855634,171471913.5,210468195.5,578138124.5,45238.5,16197688,15907.5,4858.5,95795,772540431.5,63285.5,33080.5,4770134,265,0.972354,0.80565
1549405375.1,550262,1099,196230,579226084,1171.5,386177952.5,192861187.5,776987899,1934,794939.5,1291607.5,13387.5,92136.5,1386012,576693406.5,388609386,45755.5,864085,16752,4883.5,102872,772165999,66746,50238.5,36122.5,268,0.368205,1.933285
1545423580.8,845432.5,1063,141638,576887007,1429,384562504.5,193539517,779055417,1873.5,731943.5,1223905,13330,92399.5,1321532,577108316.5,388540101.5,47257.5,1170140,17368.5,5057.5,100077,764732500,69124,90167.5,35903.5,266.5,1.714044,2.156353
1559570896.7,749771,1078,199383.5,585886322,1057,390621793.5,193006069.5,777547647.5,1874.5,789667.5,1281510,13327,91747,1379196,582056951,392184520.5,43877,873770,16828.5,4944.5,103979,781765900,66920,49436,35909,265,1.890691,1.947277
1545388729.2,99699,967,16629273,207803141,952,165221667,37685653,638968554,1843,89754662,162525972,12978,12548633,177396679,214495830,586903272,45391,16215766,15853,4866,95543,772750704,63103,32434,4771495,264,0.905705,24.985664
1540897618.1,498873,1162,199035,576779272.5,1189,384548788,191920479,773213041,1871.5,788826.5,1280682,13324.5,92006.5,1378071.5,570243050.5,384298761.5,45155.5,696772,16684.5,4965,74359.5,772463752.5,66365,35366,35782,273.5,0.126239,0.114652
1552586606.6,114132,987.5,377914.5,580773716.5,978,387394847,191326106.5,772848015.5,1925.5,978041.5,1475267.5,13419.5,92552.5,1566666,576003602.5,389243333,46485,551472,17384.5,5007,151346.5,778199025,69138.5,9610.5,36129.5,268.5,0.181961,0.250212
1548444477.1,109006.5,1056,445518,575859329,986.5,384630812.5,190583148.5,775517901.5,1881.5,1492906,1987139.5,13395.5,91928,2090592,578163172.5,393780409,45141,604670,16063,4907,71574.5,772348354.5,63868.5,16451.5,36123,265.5,0.087453,1.724413
1591059279.8,3903709,25513,7510710,39963980,29089,31598366,8098283,66411923,1841,602549,1077766,13003,89125,1200371,40049408,34849180,7539159,18942093,9601108,3575985,48413815,795589940,38403185,10111943,34549,276,0.38809,12.961932
1542053907.8,34457420,1768,92446,441545548,1932,289272244,152372651,621316060,1929,743834,1279250,13416,91289,1405488,443090003,312627165,50475,34503869,17634,5376,105077,771355651,70106,36047,55032,264,0.624629,0.350314
1590907291.3,3952547,3725.5,7714587,41028951.5,8149.5,32461000,8327327,68237997.5,1842,604307,1080097.5,12927,86973.5,1169187.5,41254530,35738808.5,7759747.5,19459455,8362483,3638530,43133727.5,795431473.5,33448948,9605239.5,34676,276,15.807444,6.015129
1546243855.6,34642633,2236,1034503,442672988,4520,293828654,148163240,624355133,1893,732047,1260560,13321,91555,1392970,441734960,313971269,1101086,37518383,21229,8254,131663,782856367,84577,25678,54201,263,0.698621,0.209557
1560703702,34328166,1559,3028701,435442053,3925,290772931,146159495,627992986,1880,730383,1258721,13312,92066,1393303,439736974,314947072,3153954,40667990,25660,12010,140288,782165356,102445,53799,53695,268,0.708123,1.246037
1562287304.8,34198900,3356,8058501,430904485,66782,290627665,140538606,618892846,1869,722240,1246314,13259,93585,1385818,431372430,310281039,7869824,50540077,29433,18063,194144,781730987,117625,84283,52579,270,0.728466,0.051871
1562023524.5,32543615,2602.5,11830330,404621142,6318,275679027,131395883,594643543.5,1917,720851,1246111,13318.5,93001,1378436.5,404271811.5,292706342.5,11710043.5,57045270,224666,86571,1174563.5,778820052.5,898588,353319,51717.5,266.5,0.747999,1.484859
1591572462.2,3866914,49280,7468393,39554637,52254,31280474,8031145,65874401,1842,601920,1077005,12926,88260,1183637,39605054,34460806,7470981,18797349,9924742,3557734,50200020,795754265,39697710,10314600,34463,276,64.964479,128.293395
1596707191,3902295,4093,7691484,41004253.5,10842,32436038.5,8355261,68486805.5,1846.5,609491.5,1089030,12990.5,93391,1305503,228905230.5,170018265.5,12947277,46123432,3375209,1326767.5,17243327,809113273.5,13500528.5,3400543,44910,283.5,1.234076,2.021598
1591309089.3,3932719.5,28298.5,7572295.5,40244781.5,31084.5,31831831,8133929,66693993.5,1835,599215.5,1072066,12874,87353,1172152.5,40171833,34886194,7576824.5,19062047,9271779,3582224,46955408,795716226.5,37086170,10089202,34756,276,40.738385,57.061459
1612578565.2,15526148,5704,14940751,183887077,18418,131329477,50467377,265757062,1926,659641,1163162,13269,91078,1272379,186062872,140817507,15119081,45374566,5855956,2847379,31070898,806836442,23423151,7238242,42135,280,1.434846,0.072096
1605099991.2,8213068,1495,8963402,95661302,4823,69135546,26180709,145287816,1892,644795,1145584,13371,90880,1226345,40285621,35100630,7560611,19356271,8603298,3607520,44133224,795587131,34412000,7392520,39254,279,2.660712,3.513822
1591058400.9,6754852.5,3456,8334717,77414191,11896.5,56668772,20574827,120297868,1881.5,637608,1134796.5,13308,91908.5,1237244,77096745.5,61210770.5,8298214.5,23342753.5,7258402,3071419.5,37230735,795777469,29032829.5,8237481,38216,291,0.046887,0.366871
1572538070.8,3890975,3834,7691615,40921818,9210,32370564,8269272,67805143,1845,608838,1087384,12980,87730,1183631,41045198,35612189,7707274,19198530,7989131,3544253,41223659,784060980,31955505,9407578,35360,275,7.07214,0.482676
1591106384.8,5381490,2621,7962125,60275247,6734,45244823,14753611,95420743,1889,636548,1134584,13365,89262,1196678,39280961,34274493,7413433,18617294,10420231,3525351,52099011,795800022,41679996,8895272,37855,277,2.987522,0.124778
1591309000,5107091.5,2430,7950760,56412593.5,5043,42852478,13312687,90342925,1882.5,632323.5,1127760.5,13315,91749,1228436.5,56396856,46660243,7955847,20944329.5,7791965,3305290.5,40042116.5,795763914.5,31167060.5,8941894,37482,277.5,2.777285,3.792504
1604782127.4,4694528,3031,8075344,50630784,6957,39382461,11016355,83011469,1914,646492,1155128,13649,94033,1258011,50782336,43087901,8098847,18733028,10141917,3543349,51011343,795747644,40566424,10455512,36334,276,2.259758,0.39555
1562548374.8,33835495,1364,16706587,494177161,1124,381750607,112307921,580372620,1870,678351,1187822,13238,91825,1305671,494782617,291697041,13424730,50748887,26512,5992,233388,780920094,105983,12306,45619,270,1.209907,1.522077
1584593110.4,35717660,1335,15963640,394808666,1106,298742021,101028358,637775288,1848,657200,1151612,13027,88085,1263665,420126549,323331037,13669622,53445921,214342,9418,977711,792112260,857301,123970,43438,272,1.102552,1.7653
1587571340.6,40464958.5,1534,16878060,376704860.5,1252,284975118.5,91351560.5,680319901.5,1876,667098,1172748.5,13242.5,91878.5,1285977,375813743.5,341360658.5,13637002,57373706,159285.5,10321.5,794699.5,791405600,637274,98236.5,43895,277,1.113254,1.669237
1578505319.9,46672181,1341,16889465.5,515352318,1258.5,390234537,124898061.5,785827614,1925,693462,1210794,13354.5,93035,1327835,512949743.5,393930530.5,14026517.5,63890594.5,31298,6924.5,173030.5,793012447.5,125016,29444.5,47158,274,0.969468,1.56542
1575706737.2,21681880,5094,737156,563990538,103317,387809369,176097177,794308523,1915,1109258,1850836,13640,94789,2120208,572725778,404838400,7743293,33945037,6392220,5267762,35862413,794698077,25568278,10468949,115138,274,0.675544,0.181194
1575157991.9,27512243,3939.5,977024,587789752.5,91097,412855798,172238973,815954389,1920.5,1085255.5,1815508,13692.5,94998,2058709,580269340.5,410380600.5,6548215,41001441,5664664.5,5219221,32891425,792266972.5,22658850,7777173,110391,274.5,0.688036,0.154712
1551829521.2,1289529,4066,1525749,520879348,120633,334145042,183847714,717769866,2024,1189805,1973650,13722,98518,2233385,514728008,361811846,2600062,6134301,1348268,639946,7007500,773998936,5392642,1840901,126533,269,0.280289,0.493524
1578671030.7,16704436,2211,7654523,191252513,1097.5,163436788,27465562,275540096,1923.5,644478,1150421,13539,95847.5,2013710,606501747.5,429232046,6270619,47698953.5,5096711.5,4796580.5,30937562,783728131.5,20387864,9914358,105901,271.5,0.07077,0.069452
1582868381,40419876,4307,359345,642706840,93828,474254153,170200497,919750618,1917,1039325,1745893,13644,94473,1979177,649111757,460849269,6941281,54082065,6198165,5979767,36445790,784786995,24795575,12151765,103490,277,0.069962,0.14291
1564559504.4,34423480,1262,17856253.5,411032989,977.5,351820729,101170800.5,1012569887,1838,700150,1224321,12978.5,87797,1280266.5,410928817,296664851,17755233.5,52370662,22977,5373,129222,781945670.5,91667,37215,50911.5,269,4.597795,9.835657
1568300383.2,4866923,3718,1601976,525866959,110216,343959370,181535649,737054971,1910,1160291,1926578,13621,96686,2195699,525231422,370357731,7180016,18848626,5672542,3232839,30382073,783267078,22689091,7449219,122596,280,0.654815,0.263592
1566371663.6,8908813,4572,1825022,539016876,113337,357752385,180792143,755098891,1962,1146391,1906761,13672,95207,2173472,540036014,380738376,7752101,24041063,6306060,4272329,34451067,783593572,25223623,9153104,121119,285,0.658713,0.204201
1596048038.8,17632187,6532.5,2707040,532128233,181118,363454473,29548147.5,296328020.5,1861,625773,1115249.5,13106,97039,2094672,544865541.5,386295110.5,13415173,42340353.5,9116166.5,6167173.5,49614186,803833952.5,36464688,1137010.5,37489.5,273,0.757873,1.391993
1625788699,30304149,7162.5,2955346.5,595362570.5,176188,422384374.5,169643059,823235587.5,1919.5,1070834.5,1792113,13603,95415.5,2052167.5,590678364.5,417678358.5,13111049,52584363,9081480.5,6936627.5,51990567.5,804907033.5,36328551,12366800.5,110561,284,0.713216,1.263442
1552065731.8,1239927,6256,1884389,510468396,223687,327560256,182757861,715504151,1904,1167163,1936870,13630,97247,2238192,511328144,360142874,1684081,5051218,618184,419617,3361878,775754383,2472970,783266,125068,272,0.286645,1.385727
1574711673.6,15107803,2193.5,7948846.5,172885280,1268,147718851.5,26240591.5,263234497,1838,610988.5,1090446.5,12944,87624,1181296,182037675.5,133005656,5612165.5,23092485.5,2847622,16164,12835261.5,787394453,11390236.5,694102,36328,272,2.568061,45.320253
1607504211.4,13552510,2175,7191820,154689519,1092,132101379,22660127,227479330,1891,635085,1134977,13439,95206,1956759,628838827,446122819,11848045,61254267,7308980,6412271,43390203,804653421,29241243,12319571,101103,284,0.693327,0.14465
1564338365,34460924,1321,17884497,409324296,992,350348781,83284454,833708510,1855,691219,1213111,13125,88556,1292889,410890374,296662150,17855670,67051332,22103,5375,126342,782505340,88149,37625,48421,268,3.116068,7.150366
