146442.0000,2536.0000,443.0000,1332.0000,24906.0000,756.0000,44330.0000,0.0000,0.0000,1078669.0000,72.0000,7287.0000,1078669.0000,253326.0000,698734.0000,528764.0000,0.0000,0.0000,367394.0000,1131.0000,24221.0000,3983.0000,467.0000,17242.0000,247444.0000,0.0000,0.0000,680363.0000,358992.0000,339357.0000,157306.0000,2011.0000,747.0000,856.0000,0.0000,0.0000,48897.0000,21.0000,20.0000,265.0000,32.0000,3195.0000,427.0000,0.0000,0.0000,847688.0000,3040.0000,625.0000,473.0000,201.0000,14364.0000,1892.0000,0.0000,0.0000,121743.0000,4600.0000,4600.0000,18318.0000,10562.0000,10.0000,0.0000,0.0000,0.0000,211654.0000,8.0000,395.0000,333.0000,58.0000,42165.0000,21995.0000,0.0000,0.0000,450699.0000,138965.0000,109137.0000,152.0000,241.0000,43126.0000,37833.0000,0.0000,0.0000,106608.0000,1179.0000,1216.0000,4.0000,7.0000,0.0000,33.0000,0.0000,0.0000,1104569.0000,1.0000,8.0000,1.0000,2490.0000,648.0000,0.0000,0.0000,0.0000
527022444.0000,8715767.0000,11881.0000,3426008.0000,102906714.0000,23622.0000,148384902.0000,0.0000,0.0000,423135381.0000,1928.0000,516962.0000,423135381.0000,5552071.0000,89693130.0000,65673813.0000,0.0000,0.0000,863911556.0000,3582465.0000,37620693.0000,26728.0000,4655.0000,123262.0000,337836329.0000,0.0000,0.0000,748366723.0000,374183392.0000,104032545.0000,54360822.0000,2077726.0000,3681764.0000,13073.0000,0.0000,0.0000,849428326.0000,3571408.0000,3570976.0000,20396.0000,2144.0000,31436626.0000,5949518.0000,0.0000,0.0000,577555147.0000,23583.0000,2962.0000,4771.0000,859.0000,104267.0000,19031.0000,0.0000,0.0000,362295546.0000,125004.0000,125004.0000,47608754.0000,23798517.0000,11870.0000,395.0000,0.0000,0.0000,736172281.0000,5142.0000,2365516.0000,1530623.0000,834880.0000,112940664.0000,51479083.0000,0.0000,0.0000,556255661.0000,123455547.0000,20778950.0000,4595781.0000,34521021.0000,7096792.0000,6978598.0000,0.0000,56.0000,483625328.0000,73415.0000,115038.0000,4.0000,1049770.0000,3.0000,1512.0000,0.0000,0.0000,566357256.0000,62.0000,224.0000,134.0000,445.0000,2969053.0000,0.0000,0.0000,0.0000
962153819.0000,15853687.0000,10175.0000,6309799.0000,186246756.0000,21791.0000,263057238.0000,0.0000,103.0000,962825766.0000,1751.0000,1137306.0000,962825766.0000,9567479.0000,201642035.0000,145835541.0000,0.0000,0.0000,961930098.0000,3972065.0000,41874729.0000,21384.0000,3425.0000,96466.0000,373337607.0000,0.0000,102.0000,961900746.0000,480950554.0000,133244790.0000,69823813.0000,2658450.0000,4731777.0000,10862.0000,0.0000,0.0000,962112356.0000,4032437.0000,4032178.0000,19832.0000,2118.0000,35618769.0000,6702095.0000,0.0000,0.0000,962137870.0000,19090.0000,2409.0000,3548.0000,643.0000,83104.0000,14173.0000,0.0000,99.0000,961938616.0000,95663.0000,95663.0000,123806630.0000,62362611.0000,4861.0000,360.0000,0.0000,0.0000,961957873.0000,12116.0000,3097529.0000,2004382.0000,1093140.0000,147022104.0000,67215903.0000,0.0000,99.0000,961766824.0000,212264064.0000,31954805.0000,7750440.0000,59930976.0000,10225407.0000,10103692.0000,0.0000,103.0000,961913340.0000,75797.0000,119876.0000,2.0000,2091048.0000,2.0000,1436.0000,0.0000,0.0000,961877395.0000,39.0000,166.0000,125.0000,390.0000,5056124.0000,0.0000,0.0000,0.0000
963995063.0000,15882406.0000,9904.0000,6325993.0000,186594509.0000,21397.0000,263519858.0000,0.0000,150.0000,963665111.0000,1749.0000,1134709.0000,963665111.0000,9569166.0000,201931790.0000,146068110.0000,0.0000,0.0000,963746957.0000,3981643.0000,41949536.0000,21303.0000,3377.0000,95908.0000,374365616.0000,0.0000,150.0000,963751449.0000,481875804.0000,133523444.0000,69992770.0000,2665099.0000,4740178.0000,11584.0000,0.0000,151.0000,963793037.0000,4041860.0000,4041589.0000,19366.0000,2218.0000,35684740.0000,6716882.0000,0.0000,0.0000,963514076.0000,18729.0000,2371.0000,3456.0000,756.0000,81836.0000,13820.0000,0.0000,149.0000,963406674.0000,94774.0000,94774.0000,123984703.0000,62488634.0000,4692.0000,321.0000,0.0000,0.0000,963519062.0000,5441.0000,3104354.0000,2010210.0000,1094136.0000,147108621.0000,67233264.0000,0.0000,147.0000,963561915.0000,213213810.0000,32050304.0000,7780887.0000,60215762.0000,10237203.0000,10115535.0000,0.0000,151.0000,963566001.0000,76008.0000,120306.0000,2.0000,2093852.0000,2.0000,1435.0000,0.0000,150.0000,963402761.0000,39.0000,164.0000,127.0000,392.0000,5059208.0000,0.0000,0.0000,0.0000
962848888.0000,15866646.0000,9952.0000,6313660.0000,186357368.0000,20834.0000,263220409.0000,0.0000,199.0000,963488171.0000,1749.0000,1139368.0000,963488171.0000,9571929.0000,201873842.0000,145987925.0000,0.0000,195.0000,963912807.0000,3985323.0000,41978188.0000,21314.0000,3388.0000,95798.0000,374130270.0000,0.0000,197.0000,963053478.0000,481526662.0000,133459079.0000,69938344.0000,2660279.0000,4734698.0000,8859.0000,0.0000,199.0000,963449232.0000,4037648.0000,4037373.0000,19377.0000,1789.0000,35673866.0000,6720415.0000,0.0000,195.0000,996347852.0000,19115.0000,2448.0000,3455.0000,846.0000,83445.0000,13792.0000,0.0000,197.0000,979809750.0000,97611.0000,97611.0000,126036924.0000,63545178.0000,5202.0000,345.0000,0.0000,198.0000,963460494.0000,12157.0000,3103142.0000,2007893.0000,1095239.0000,147408260.0000,67361508.0000,0.0000,195.0000,963563461.0000,212865127.0000,32013597.0000,7767904.0000,60132854.0000,10237343.0000,10116539.0000,0.0000,199.0000,947536187.0000,75444.0000,119401.0000,2.0000,2059725.0000,2.0000,1435.0000,0.0000,197.0000,963566611.0000,40.0000,160.0000,125.0000,390.0000,5056465.0000,0.0000,0.0000,195.0000
979359587.0000,16141024.0000,10408.0000,6428925.0000,189498340.0000,21289.0000,267629546.0000,0.0000,246.0000,979772945.0000,1752.0000,1158343.0000,979772945.0000,9713764.0000,205152397.0000,148412086.0000,0.0000,244.0000,963327264.0000,3978868.0000,41920866.0000,21145.0000,3293.0000,94915.0000,374208276.0000,0.0000,244.0000,963300656.0000,481650213.0000,133537897.0000,70003891.0000,2662050.0000,4737093.0000,11870.0000,0.0000,249.0000,979623595.0000,4108402.0000,4108093.0000,19784.0000,2129.0000,36270987.0000,6829153.0000,0.0000,243.0000,963024749.0000,18644.0000,2399.0000,3342.0000,590.0000,81091.0000,13341.0000,0.0000,244.0000,979071382.0000,94659.0000,94659.0000,125949524.0000,63492660.0000,4669.0000,340.0000,0.0000,244.0000,932051565.0000,12125.0000,3003277.0000,1944785.0000,1058480.0000,142295209.0000,65028845.0000,0.0000,244.0000,963494766.0000,213210525.0000,32058615.0000,7782705.0000,60218611.0000,10233701.0000,10112995.0000,0.0000,123.0000,916576598.0000,75860.0000,119742.0000,2.0000,1992866.0000,2.0000,1436.0000,0.0000,245.0000,916277302.0000,39.0000,159.0000,132.0000,393.0000,4795616.0000,0.0000,0.0000,242.0000
963821411.0000,15889073.0000,9852.0000,6325391.0000,186561821.0000,21058.0000,263539880.0000,0.0000,147.0000,963647461.0000,1753.0000,1138289.0000,963647461.0000,9570801.0000,201894601.0000,146093008.0000,0.0000,291.0000,947586054.0000,3912435.0000,41257222.0000,21386.0000,3325.0000,95874.0000,367969505.0000,0.0000,146.0000,979405466.0000,489702734.0000,135688605.0000,71108871.0000,2708607.0000,4821213.0000,13757.0000,0.0000,295.0000,918037989.0000,3842272.0000,3841915.0000,19017.0000,2397.0000,33997402.0000,6389238.0000,0.0000,291.0000,963720016.0000,18735.0000,2381.0000,3423.0000,666.0000,81215.0000,13670.0000,0.0000,145.5000,963858241.0000,95872.0000,95872.0000,124009220.0000,62495001.0000,4946.0000,303.0000,0.0000,291.0000,932680336.0000,12139.0000,3003322.0000,1944089.0000,1059225.0000,142668380.0000,65206618.0000,0.0000,291.0000,916789673.0000,202562638.0000,30602536.0000,7408908.0000,57192704.0000,9800852.0000,9679645.0000,0.0000,147.0000,916869246.0000,75556.0000,119463.0000,2.0000,1993187.0000,2.0000,1434.0000,0.0000,293.0000,916267872.0000,40.0000,162.0000,132.0000,393.0000,4797777.0000,0.0000,0.0000,290.0000
963748601.0000,15879996.0000,10038.0000,6324422.0000,186522300.0000,21384.0000,263441120.0000,0.0000,171.0000,964087991.0000,1749.0000,1136968.0000,964087991.0000,9573721.0000,201906439.0000,145986392.0000,0.0000,338.0000,930155817.0000,3838791.0000,40480037.0000,22204.0000,3458.0000,99601.0000,361499406.0000,0.0000,170.0000,950952226.0000,475476184.0000,131772631.0000,69070623.0000,2627893.0000,4674097.0000,11248.0000,0.0000,171.0000,931434118.0000,3895974.0000,3895662.0000,19534.0000,1640.0000,34507045.0000,6479142.0000,0.0000,339.0000,917326506.0000,18920.0000,2475.0000,3490.0000,918.0000,82747.0000,13946.0000,0.0000,169.5000,931643984.0000,95396.0000,95396.0000,119965826.0000,60456084.0000,5203.0000,379.0000,0.0000,340.0000,899889417.0000,12337.0000,2897538.0000,1878380.0000,1019153.0000,137451514.0000,62817460.0000,0.0000,169.0000,922959536.0000,204287947.0000,30824882.0000,7463345.0000,57674061.0000,9855611.0000,9734793.0000,0.0000,171.0000,915947794.0000,75808.0000,119943.0000,6.0000,1992069.0000,2.0000,1438.0000,0.0000,170.0000,933150996.0000,42.0000,161.0000,133.0000,393.0000,4881155.0000,0.0000,0.0000,338.0000
975839942.0000,16109532.0000,12421.0000,6367239.0000,189134802.0000,25109.0000,267334546.0000,0.0000,195.0000,938225913.0000,1748.0000,1108599.0000,938225913.0000,9351448.0000,196580962.0000,142232920.0000,0.0000,192.5000,940631026.0000,3884466.0000,40952124.0000,21526.0000,3407.0000,96892.0000,365367225.0000,0.0000,193.5000,963034398.0000,481517144.0000,133463344.0000,69929077.0000,2662794.0000,4736698.0000,9490.0000,0.0000,195.5000,900594048.0000,3761343.0000,3760990.0000,19235.0000,2201.0000,33355420.0000,6252511.0000,0.0000,192.5000,915827146.0000,18942.0000,2384.0000,3398.0000,871.0000,82833.0000,13530.0000,0.0000,193.5000,915829937.0000,95374.0000,95374.0000,117964380.0000,59444332.0000,4930.0000,315.0000,0.0000,194.0000,914164620.0000,5285.0000,2941264.0000,1906201.0000,1035058.0000,139910768.0000,63933797.0000,0.0000,192.5000,912098373.0000,201551859.0000,30466490.0000,7369186.0000,56895804.0000,9762061.0000,9641589.0000,0.0000,194.5000,916966115.0000,75735.0000,119602.0000,2.0000,1993096.0000,2.0000,1434.0000,0.0000,194.0000,916794103.0000,40.0000,164.0000,132.0000,391.0000,4798766.0000,0.0000,0.0000,193.5000
963484691.0000,15875447.0000,9857.0000,6324552.0000,186516034.0000,20911.0000,263410333.0000,0.0000,218.0000,915615862.0000,1759.0000,1079599.0000,915615862.0000,9155658.0000,191867869.0000,138728129.0000,0.0000,217.0000,890320660.0000,3670045.0000,38762230.0000,21536.0000,3290.0000,96471.0000,346231747.0000,0.0000,217.0000,915852270.0000,457925733.0000,127004099.0000,66555699.0000,2526431.0000,4495759.0000,9434.0000,0.0000,219.0000,915252864.0000,3828430.0000,3828146.0000,19254.0000,2164.0000,33900648.0000,6365125.0000,0.0000,216.0000,930024085.0000,18860.0000,2411.0000,3305.0000,1041.0000,82499.0000,13203.0000,0.0000,217.0000,929954522.0000,97550.0000,97550.0000,119806784.0000,60380140.0000,5186.0000,324.0000,0.0000,218.0000,927793106.0000,5064.0000,2990237.0000,1936076.0000,1054150.0000,141677806.0000,64749877.0000,0.0000,216.0000,922034178.0000,204165576.0000,30792394.0000,7465357.0000,57639456.0000,9845053.0000,9725014.0000,0.0000,145.6000,922888270.0000,75733.0000,119956.0000,2.0000,2006640.0000,2.0000,1436.0000,0.0000,218.0000,919815057.0000,42.0000,160.0000,140.0000,390.0000,4827311.0000,0.0000,0.0000,218.0000
