104149.0000,52075.0000,15264.0000,8573.0000,675.0000,316.0000,250.0000,0.0000,0.0000
60511351.0000,30255763.0000,3270.0000,26254428.0000,210.0000,17728.0000,14243.0000,0.0000,0.0000
66812729.0000,33406186.0000,1252.0000,29006724.0000,112.0000,19758.0000,15759.0000,0.0000,0.0000
62714718.0000,31357369.0000,6413.0000,27213262.0000,553.0000,20002.0000,15343.0000,0.0000,0.0000
169319693.0000,84659760.0000,1193382.0000,15322396.0000,648860.0000,9621.0000,675909.0000,0.0000,0.0000
356174921.0000,178087469.0000,2856891.0000,2856158.0000,1557092.0000,104.0000,1599924.0000,0.0000,0.0000
375218637.0000,187609323.0000,2887203.0000,2886569.0000,1574526.0000,108.0000,1617103.0000,0.0000,0.0000
367572796.0000,183786398.0000,2881557.0000,2879212.0000,1569072.0000,235.0000,1611945.0000,0.0000,0.0000
379217369.0000,189608696.0000,2904154.0000,2901270.0000,1582106.0000,244.0000,1624361.0000,0.0000,0.0000
373290844.0000,186645431.0000,2878172.0000,2877519.0000,1569881.0000,102.0000,1612014.0000,0.0000,0.0000
368912188.0000,184456101.0000,2880523.0000,2879762.0000,1570632.0000,110.0000,1613379.0000,0.0000,0.0000
371579952.0000,185789986.0000,2885727.0000,2885206.0000,1574259.0000,113.0000,1616522.0000,0.0000,0.0000
362760180.0000,181380102.0000,2869849.0000,2866807.0000,1562400.0000,269.0000,1604952.0000,0.0000,0.0000
378797301.0000,189398659.0000,2895306.0000,2894650.0000,1579175.0000,115.0000,1621888.0000,0.0000,0.0000
370758578.0000,185379295.0000,2883934.0000,2883228.0000,1572177.0000,104.0000,1615230.0000,0.0000,0.0000
361208045.0000,180604029.0000,2862327.0000,2861753.0000,1560397.0000,110.0000,1603273.0000,0.0000,0.0000
370055794.0000,185027908.0000,2887755.0000,2884474.0000,1572587.0000,267.0000,1614889.0000,0.0000,0.0000
362055280.0000,181027651.0000,2871232.0000,2870671.0000,1565813.0000,108.0000,1608297.0000,0.0000,0.0000
373211144.0000,186605576.0000,2884002.0000,2883450.0000,1572895.0000,112.0000,1615490.0000,0.0000,0.0000
374544648.0000,187272331.0000,2892061.0000,2891405.0000,1577288.0000,117.0000,1620050.0000,0.0000,0.0000
364322903.0000,182161461.0000,2876264.0000,2875743.0000,1568304.0000,102.0000,1611146.0000,0.0000,0.0000
374079775.0000,187039900.0000,2892887.0000,2889600.0000,1575601.0000,263.0000,1617665.0000,0.0000,0.0000
367760719.0000,183880366.0000,2881538.0000,2880833.0000,1571734.0000,121.0000,1614096.0000,0.0000,0.0000
369123780.0000,184561902.0000,2879319.0000,2878444.0000,1569951.0000,127.0000,1612532.0000,0.0000,0.0000
362732043.0000,181366031.0000,2866106.0000,2865525.0000,1562337.0000,104.0000,1605438.0000,0.0000,0.0000
373534175.0000,186767098.0000,2895572.0000,2892415.0000,1577330.0000,261.0000,1619526.0000,0.0000,0.0000
373639223.0000,186819625.0000,2887874.0000,2887302.0000,1575015.0000,81.0000,1617724.0000,0.0000,0.0000
365148741.0000,182574378.0000,2871900.0000,2871105.0000,1565405.0000,126.0000,1608324.0000,0.0000,0.0000
368495072.0000,184247541.0000,2879726.0000,2879209.0000,1570738.0000,103.0000,1613178.0000,0.0000,0.0000
369609589.0000,184804807.0000,2881599.0000,2881012.0000,1571710.0000,98.0000,1614071.0000,0.0000,0.0000
372402225.0000,186201122.0000,2887783.0000,2884795.0000,1572157.0000,248.0000,1615157.0000,0.0000,0.0000
373732520.0000,186866266.0000,2889214.0000,2888638.0000,1575825.0000,94.0000,1618524.0000,0.0000,0.0000
356144983.0000,178072501.0000,2856856.0000,2856134.0000,1556963.0000,119.0000,1600041.0000,0.0000,0.0000
372407344.0000,186203680.0000,2883516.0000,2883264.0000,1572918.0000,84.0000,1615675.0000,0.0000,0.0000
363938794.0000,181969403.0000,2876496.0000,2876206.0000,1569117.0000,61.0000,1611779.0000,0.0000,0.0000
372751407.0000,186375715.0000,2889619.0000,2889466.0000,1576976.0000,57.0000,1619284.0000,0.0000,0.0000
367599194.0000,183799607.0000,2878977.0000,2878824.0000,1570751.0000,53.0000,1613278.0000,0.0000,0.0000
372307547.0000,186153785.0000,2890891.0000,2890739.0000,1577423.0000,59.0000,1620142.0000,0.0000,0.0000
375687617.0000,187843814.0000,2899416.0000,2899269.0000,1582328.0000,75.0000,1624701.0000,0.0000,0.0000
363336107.0000,181668064.0000,2870382.0000,2870206.0000,1564890.0000,52.0000,1608453.0000,0.0000,0.0000
371738346.0000,185869184.0000,2893697.0000,2893539.0000,1578930.0000,59.0000,1621693.0000,0.0000,0.0000
367230302.0000,183615162.0000,2885158.0000,2885014.0000,1574038.0000,61.0000,1616742.0000,0.0000,0.0000
376259008.0000,188129513.0000,2892349.0000,2892201.0000,1578473.0000,64.0000,1620866.0000,0.0000,0.0000
359570329.0000,179785173.0000,2876210.0000,2876068.0000,1568550.0000,54.0000,1611824.0000,0.0000,0.0000
365864897.0000,182932457.0000,2881433.0000,2881292.0000,1571912.0000,46.0000,1614681.0000,0.0000,0.0000
364823292.0000,182411656.0000,2868850.0000,2868672.0000,1565027.0000,37.0000,1607595.0000,0.0000,0.0000
369852425.0000,184926222.0000,2885735.0000,2885590.0000,1574381.0000,52.0000,1617103.0000,0.0000,0.0000
375163575.0000,187581797.0000,2893420.0000,2893281.0000,1578532.0000,61.0000,1621337.0000,0.0000,0.0000
379024591.0000,189512307.0000,2893280.0000,2892650.0000,1578388.0000,87.0000,1620752.0000,0.0000,0.0000
