4607515.0000,4858.0000,82232.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
728828348.0000,15151.0000,3298267.0000,131.0000,0.0000,0.0000,0.0000,0.0000,0.0000
742235761.0000,2288.0000,3391106.0000,128.0000,0.0000,0.0000,0.0000,0.0000,0.0000
742254911.0000,1951.0000,3390396.0000,137.0000,0.0000,0.0000,0.0000,0.0000,0.0000
742391960.0000,2347.0000,3388637.0000,130.0000,0.0000,0.0000,0.0000,0.0000,0.0000
742731129.0000,2451.0000,3388355.0000,124.0000,0.0000,0.0000,0.0000,0.0000,0.0000
742747610.0000,2016.0000,3388632.0000,138.0000,0.0000,0.0000,0.0000,0.0000,0.0000
742342626.0000,2581.0000,3389859.0000,130.0000,0.0000,0.0000,0.0000,0.0000,0.0000
742497333.0000,2655.0000,3387956.0000,138.0000,0.0000,0.0000,0.0000,0.0000,0.0000
742278857.0000,2436.0000,3389682.0000,133.0000,0.0000,0.0000,0.0000,0.0000,0.0000
650997069.0000,2082.0000,3142985.0000,120.0000,0.0000,0.0000,0.0000,0.0000,0.0000
467135360.0000,1546.0000,2649883.0000,82.0000,0.0000,0.0000,0.0000,0.0000,0.0000
467163933.0000,1618.0000,2651460.0000,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000
467109744.0000,1422.0000,2651955.0000,86.0000,0.0000,0.0000,0.0000,0.0000,0.0000
467265643.0000,1271.0000,2654049.0000,85.0000,0.0000,0.0000,0.0000,0.0000,0.0000
